Date,6758-T,6861-T,7203-T,8035-T,8306-T,9432-T,9984-T
2023-09-26,0.05521841815853739,0.0,0.0,0.0,0.0,0.06031303933855113,0.055925914388275794
2023-09-27,0.05573288282406541,0.0,0.0,0.0,0.0,0.060843510736156466,0.05626216697087639
2023-09-28,0.05521453367122289,0.0,0.0,0.0,0.0,0.060428081863696366,0.05550471366461125
2023-09-29,0.05530715552306896,0.0,0.0,0.0,0.0,0.059611382932780704,0.055855911951997704
2023-10-02,0.05522894901201792,0.0,0.0,0.0,0.0,0.0591569442681388,0.05518636027238098
2023-10-03,0.0,0.037809150557769663,0.0,0.0,0.037809150557769663,0.037809150557769663,0.0
2023-10-04,0.0,0.03796981924483987,0.0,0.0,0.03587741094668608,0.037112760519938975,0.0
2023-10-05,0.0,0.038292076672076195,0.0,0.0,0.0372286914368078,0.037605854312457485,0.0
2023-10-06,0.0,0.038084814889236304,0.0,0.0,0.036787581015288846,0.037445458975070824,0.0
2023-10-10,0.0,0.0384650042024199,0.0,0.0,0.03734354893705785,0.03811201710990356,0.0
2023-10-11,0.0,0.03815512043807295,0.0,0.0,0.03717199531232198,0.03809044655541049,0.0
2023-10-12,0.0,0.03943526245891823,0.0,0.0,0.03739627349726174,0.03794573545402468,0.0
2023-10-13,0.0,0.039571175756998526,0.0,0.0,0.03666487357507501,0.03797021221940916,0.0
2023-10-16,0.0,0.03864733020043596,0.0,0.0,0.036702141744386005,0.03723939339391045,0.0
2023-10-17,0.0,0.03922457297619384,0.0,0.0,0.03677003346973531,0.03746222273798606,0.0
2023-10-18,0.0,0.03924125346381495,0.0,0.0,0.03724890878010717,0.03721418629422721,0.0
2023-10-19,0.0,0.03826340473124136,0.0,0.0,0.03676482138997354,0.037480658073371934,0.0
2023-10-20,0.0,0.037812240981223114,0.0,0.0,0.03667960710410356,0.037564677678034404,0.0
2023-10-23,0.0,0.03695405252826546,0.0,0.0,0.036385838584067846,0.03754907087143585,0.0
2023-10-24,0.0,0.03682103722665595,0.0,0.0,0.03616022492181236,0.037605190379354954,0.0
2023-10-25,0.0,0.03690556978161606,0.0,0.0,0.036804313270420434,0.03784567968693114,0.0
